,AREA,PERIMETER,ANGLE,FERET,FERETX,FERETY,FERETZ,MINFERET,LENGTH,TYPE,,,,,,,,,,,
2,31,29.547,-66.038,29.547,492,492,113.962,0,29.547,Second,,,,,,,,,,,
3,72,70.612,-12.265,70.612,468,498,167.735,0,70.612,Second,,,,,,,,,,,
4,87,85.907,-155.225,85.907,450,525,24.775,0,85.907,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,107,105.683,6.52,105.683,480,597,6.52,1.78E-15,105.683,Second,,,,,,,,,,,
2,35,34.205,-74.745,34.205,531,570,105.255,0,34.205,Second,,,,,,,,,,,
3,86,84.853,-8.13,84.853,498,579,171.87,1.78E-15,84.853,Second,,,,,,,,,,,
4,99,98.087,-156.571,98.087,486,603,23.429,0,98.087,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,88,87.464,-5.906,87.464,378,498,174.094,0,87.464,Second,,,,,,,,,,,
2,27,25.807,-125.538,25.807,417,513,54.462,0,25.807,Second,,,,,,,,,,,
3,64,62.642,-16.699,62.642,393,492,163.301,0,62.642,Second,,,,,,,,,,,
4,73,72.062,-177.614,72.062,393,504,2.386,0,72.062,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,88,87.464,-5.906,87.464,378,498,174.094,0,87.464,Second,,,,,,,,,,,
2,27,25.807,-125.538,25.807,417,513,54.462,0,25.807,Second,,,,,,,,,,,
3,64,62.642,-16.699,62.642,393,492,163.301,0,62.642,Second,,,,,,,,,,,
4,73,72.062,-177.614,72.062,393,504,2.386,0,72.062,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,88,87.464,-5.906,87.464,378,498,174.094,0,87.464,Second,,,,,,,,,,,
2,27,25.807,-125.538,25.807,417,513,54.462,0,25.807,Second,,,,,,,,,,,
3,64,62.642,-16.699,62.642,393,492,163.301,0,62.642,Second,,,,,,,,,,,
4,73,72.062,-177.614,72.062,393,504,2.386,0,72.062,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,65,64.413,-27.759,64.413,339,540,152.241,0,64.413,Second,,,,,,,,,,,
2,23,21.633,-123.69,21.633,366,567,56.31,0,21.633,Second,,,,,,,,,,,
3,61,59.548,-40.914,59.548,345,537,139.086,0,59.548,Second,,,,,,,,,,,
4,58,57.315,173.991,57.315,345,555,173.991,0,57.315,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,91,90.05,-1.909,90.05,360,468,178.091,0,90.05,Second,,,,,,,,,,,
2,19,18,-90,18,408,462,90,0,18,Second,,,,,,,,,,,
3,75,74.216,-14.036,74.216,366,462,165.964,0,74.216,Second,,,,,,,,,,,
4,65,64.133,-169.216,64.133,378,477,10.784,0,64.133,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,95,93.915,26.565,93.915,402,417,26.565,0,93.915,Second,,,,,,,,,,,
2,20,19.209,-51.34,19.209,432,393,128.66,1.78E-15,19.209,Second,,,,,,,,,,,
3,100,98.681,19.537,98.681,393,414,19.537,0,98.681,Second,,,,,,,,,,,
4,76,74.518,-139.899,74.518,411,423,40.101,7.11E-15,74.518,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,95,93.915,26.565,93.915,402,417,26.565,0,93.915,Second,,,,,,,,,,,
2,20,19.209,-51.34,19.209,432,393,128.66,1.78E-15,19.209,Second,,,,,,,,,,,
3,100,98.681,19.537,98.681,393,414,19.537,0,98.681,Second,,,,,,,,,,,
4,76,74.518,-139.899,74.518,411,423,40.101,7.11E-15,74.518,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,91,90.2,-3.814,90.2,492,444,176.186,0,90.2,Second,,,,,,,,,,,
2,25,24,-90,24,540,432,90,0,24,Second,,,,,,,,,,,
3,86,84.853,-171.87,84.853,489,447,8.13,0,84.853,Second,,,,,,,,,,,
4,78,77.13,-13.496,77.13,504,435,166.504,0,77.13,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,112,111.041,-1.548,111.041,387,435,178.452,0,111.041,Second,,,,,,,,,,,
2,25,24.187,-82.875,24.187,441,429,97.125,0,24.187,Second,,,,,,,,,,,
3,81,80.05,-12.995,80.05,402,429,167.005,0,80.05,Second,,,,,,,,,,,
4,80,79.429,-169.114,79.429,402,441,10.886,1.78E-15,79.429,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,76,75.24,-23.499,75.24,360,459,156.501,0,75.24,Second,,,,,,,,,,,
2,25,24,-90,24,396,462,90,0,24,Second,,,,,,,,,,,
3,62,60.745,-32.905,60.745,360,459,147.095,3.55E-15,60.745,Second,,,,,,,,,,,
4,74,72.56,172.875,72.56,357,468,172.875,0,72.56,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,106,105.385,-4.899,105.385,336,420,175.101,0,105.385,Second,,,,,,,,,,,
2,22,21,-90,21,384,417,90,0,21,Second,,,,,,,,,,,
3,82,80.777,-15.068,80.777,348,417,164.932,0,80.777,Second,,,,,,,,,,,
4,89,87.824,-172.147,87.824,351,432,7.853,0,87.824,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,94,93.145,-14.931,93.145,414,441,165.069,3.55E-15,93.145,Second,,,,,,,,,,,
2,26,24.739,-104.036,24.739,456,471,75.964,0,24.739,Second,,,,,,,,,,,
3,68,67.082,-26.565,67.082,438,441,153.435,0,67.082,Second,,,,,,,,,,,
4,60,58.941,-165.256,58.941,435,462,14.744,3.55E-15,58.941,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,91,90.25,-21.448,90.25,372,492,158.552,0,90.25,Second,,,,,,,,,,,
2,25,24,-90,24,420,501,90,0,24,Second,,,,,,,,,,,
3,79,78.23,-32.471,78.23,378,489,147.529,0,78.23,Second,,,,,,,,,,,
4,82,81,180,81,372,510,0,0,81,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,82,81.222,-4.236,81.222,333,558,175.764,0,81.222,Second,,,,,,,,,,,
2,19,18,-90,18,378,555,90,0,18,Second,,,,,,,,,,,
3,77,75.895,-18.435,75.895,342,549,161.565,0,75.895,Second,,,,,,,,,,,
4,66,64.761,-166.608,64.761,342,570,13.392,0,64.761,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,94,93.048,-20.772,93.048,414,255,159.228,0,93.048,Second,,,,,,,,,,,
2,27,25.632,-110.556,25.632,456,285,69.444,0,25.632,Second,,,,,,,,,,,
3,76,75.18,-28.61,75.18,420,252,151.39,0,75.18,Second,,,,,,,,,,,
4,85,84.054,-177.955,84.054,417,273,2.045,4.44E-16,84.054,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,82,81,0,81,435,378,0,0,81,Second,,,,,,,,,,,
2,28,27.166,-83.66,27.166,477,363,96.34,4.44E-16,27.166,Second,,,,,,,,,,,
3,74,73.055,-19.179,73.055,444,366,160.821,3.55E-15,73.055,Second,,,,,,,,,,,
4,69,68.411,-164.745,68.411,444,387,15.255,0,68.411,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,85,84.214,-4.086,84.214,426,333,175.914,0,84.214,Second,,,,,,,,,,,
2,26,24.739,-104.036,24.739,462,345,75.964,0,24.739,Second,,,,,,,,,,,
3,71,70.228,-19.983,70.228,432,321,160.017,0,70.228,Second,,,,,,,,,,,
4,74,72.993,-170.538,72.993,426,339,9.462,0,72.993,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,89,88.233,-17.819,88.233,408,378,162.181,3.55E-15,88.233,Second,,,,,,,,,,,
2,22,21,-90,21,447,384,90,0,21,Second,,,,,,,,,,,
3,59,57.628,-38.66,57.628,423,375,141.34,3.55E-15,57.628,Second,,,,,,,,,,,
4,67,66.272,-174.806,66.272,420,396,5.194,0,66.272,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,71,69.584,-7.431,69.584,291,411,172.569,0,69.584,Second,,,,,,,,,,,
2,29,27.659,-102.529,27.659,324,429,77.471,0,27.659,Second,,,,,,,,,,,
3,57,56.365,-25.201,56.365,300,399,154.799,3.55E-15,56.365,Second,,,,,,,,,,,
4,59,58.249,-168.111,58.249,294,417,11.889,0,58.249,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,80,78.746,17.745,78.746,291,438,17.745,3.55E-15,78.746,Second,,,,,,,,,,,
2,23,21.633,-56.31,21.633,324,417,123.69,1.78E-15,21.633,Second,,,,,,,,,,,
3,64,63,0,63,303,423,0,0,63,Second,,,,,,,,,,,
4,68,67.082,-153.435,67.082,300,441,26.565,0,67.082,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,82,81,0,81,234,471,0,0,81,Second,,,,,,,,,,,
2,16,15.297,-78.69,15.297,270,465,101.31,0,15.297,Second,,,,,,,,,,,
3,51,50.289,-17.354,50.289,252,462,162.646,1.78E-15,50.289,Second,,,,,,,,,,,
4,55,54.083,-160.56,54.083,246,480,19.44,0,54.083,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,77,76.485,-25.56,76.485,303,426,154.44,0,76.485,Second,,,,,,,,,,,
2,25,24.187,-97.125,24.187,342,459,82.875,0,24.187,Second,,,,,,,,,,,
3,67,65.863,-30.069,65.863,306,426,149.931,3.55E-15,65.863,Second,,,,,,,,,,,
4,61,60.299,-174.289,60.299,312,447,5.711,0,60.299,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,105,103.576,-10.008,103.576,360,441,169.992,0,103.576,Second,,,,,,,,,,,
2,22,21.213,-98.13,21.213,417,465,81.87,4.44E-16,21.213,Second,,,,,,,,,,,
3,67,65.863,-30.069,65.863,384,435,149.931,3.55E-15,65.863,Second,,,,,,,,,,,
4,94,93.193,176.309,93.193,369,447,176.309,0,93.193,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,113,111.647,6.17,111.647,414,609,6.17,0,111.647,Second,,,,,,,,,,,
2,25,24.187,-82.875,24.187,474,585,97.125,0,24.187,Second,,,,,,,,,,,
3,86,84.853,-8.13,84.853,435,597,171.87,1.78E-15,84.853,Second,,,,,,,,,,,
4,83,81.939,-156.251,81.939,432,618,23.749,0,81.939,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,101,99.725,-15.709,99.725,444,528,164.291,0,99.725,Second,,,,,,,,,,,
2,31,30,-126.87,30,492,555,53.13,1.78E-15,30,Second,,,,,,,,,,,
3,92,91.241,-27.408,91.241,456,519,152.592,0,91.241,Second,,,,,,,,,,,
4,100,99.182,176.532,99.182,447,537,176.532,0,99.182,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,79,78,0,78,480,507,0,0,78,Second,,,,,,,,,,,
2,29,27.659,-77.471,27.659,519,492,102.529,0,27.659,Second,,,,,,,,,,,
3,74,72.993,-9.462,72.993,486,501,170.538,0,72.993,Second,,,,,,,,,,,
4,60,58.941,-165.256,58.941,495,513,14.744,3.55E-15,58.941,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,82,81,0,81,393,522,0,0,81,Second,,,,,,,,,,,
2,28,27.166,-83.66,27.166,435,507,96.34,4.44E-16,27.166,Second,,,,,,,,,,,
3,75,73.546,-11.768,73.546,402,513,168.232,1.78E-15,73.546,Second,,,,,,,,,,,
4,67,66.408,-161.565,66.408,396,531,18.435,3.55E-15,66.408,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,98,97.165,-8.881,97.165,456,546,171.119,1.78E-15,97.165,Second,,,,,,,,,,,
2,37,36,-90,36,510,537,90,0,36,Second,,,,,,,,,,,
3,68,67.082,-26.565,67.082,474,543,153.435,0,67.082,Second,,,,,,,,,,,
4,85,84.054,-177.955,84.054,465,558,2.045,4.44E-16,84.054,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,88,87,0,87,474,507,0,0,87,Second,,,,,,,,,,,
2,25,24.187,-82.875,24.187,516,495,97.125,0,24.187,Second,,,,,,,,,,,
3,45,44.294,-28.301,44.294,504,495,151.699,0,44.294,Second,,,,,,,,,,,
4,57,56.045,-164.476,56.045,492,513,15.524,1.78E-15,56.045,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,85,84.481,6.116,84.481,432,507,6.116,0,84.481,Second,,,,,,,,,,,
2,19,18.248,-80.538,18.248,468,495,99.462,0,18.248,Second,,,,,,,,,,,
3,52,51,-28.072,51,453,495,151.928,0,51,Second,,,,,,,,,,,
4,48,46.957,-153.435,46.957,456,516,26.565,0,46.957,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,101,99.725,6.911,99.725,387,537,6.911,0,99.725,Second,,,,,,,,,,,
2,25,24.187,-82.875,24.187,435,519,97.125,0,24.187,Second,,,,,,,,,,,
3,62,61.188,-11.31,61.188,405,525,168.69,1.78E-15,61.188,Second,,,,,,,,,,,
4,66,64.622,-158.199,64.622,408,543,21.801,0,64.622,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,75,73.79,-26.565,73.79,366,552,153.435,0,73.79,Second,,,,,,,,,,,
2,28,26.833,-116.565,26.833,402,579,63.435,0,26.833,Second,,,,,,,,,,,
3,74,72.622,-38.29,72.622,378,546,141.71,0,72.622,Second,,,,,,,,,,,
4,67,66.272,174.806,66.272,366,558,174.806,0,66.272,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,94,93.434,5.528,93.434,396,585,5.528,0,93.434,Second,,,,,,,,,,,
2,31,30,-90,30,444,561,90,0,30,Second,,,,,,,,,,,
3,67,65.521,-15.945,65.521,414,567,164.055,0,65.521,Second,,,,,,,,,,,
4,90,89.499,-166.43,89.499,396,588,13.57,0,89.499,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,73,72,0,72,405,390,0,0,72,Second,,,,,,,,,,,
2,31,30,-90,30,441,372,90,0,30,Second,,,,,,,,,,,
3,65,63.569,-19.29,63.569,414,375,160.71,0,63.569,Second,,,,,,,,,,,
4,75,74.216,-165.964,74.216,402,396,14.036,0,74.216,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,109,108.167,-3.18,108.167,498,402,176.82,0,108.167,Second,,,,,,,,,,,
2,25,24.187,-97.125,24.187,555,411,82.875,0,24.187,Second,,,,,,,,,,,
3,86,84.694,-22.932,84.694,519,387,157.068,3.55E-15,84.694,Second,,,,,,,,,,,
4,94,93.434,-174.472,93.434,504,408,5.528,0,93.434,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,94,93.048,-1.848,93.048,396,453,178.152,0,93.048,Second,,,,,,,,,,,
2,31,30,-90,30,450,441,90,0,30,Second,,,,,,,,,,,
3,68,67.417,-20.854,67.417,411,441,159.146,0,67.417,Second,,,,,,,,,,,
4,94,93,180,93,390,453,0,0,93,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,85,84.214,-4.086,84.214,360,363,175.914,0,84.214,Second,,,,,,,,,,,
2,22,21,-90,21,405,354,90,0,21,Second,,,,,,,,,,,
3,72,71.309,-22.249,71.309,378,354,157.751,0,71.309,Second,,,,,,,,,,,
4,85,84.214,-175.914,84.214,360,366,4.086,8.88E-16,84.214,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,85,84.214,-4.086,84.214,360,363,175.914,0,84.214,Second,,,,,,,,,,,
2,22,21,-90,21,405,354,90,0,21,Second,,,,,,,,,,,
3,72,71.309,-22.249,71.309,378,354,157.751,0,71.309,Second,,,,,,,,,,,
4,85,84.214,-175.914,84.214,360,366,4.086,8.88E-16,84.214,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,100,99.182,-3.468,99.182,345,561,176.532,0,99.182,Second,,,,,,,,,,,
2,22,21,-90,21,402,555,90,0,21,Second,,,,,,,,,,,
3,73,72.498,-24.444,72.498,366,549,155.556,3.55E-15,72.498,Second,,,,,,,,,,,
4,82,81.498,-173.66,81.498,357,567,6.34,0,81.498,Second,,,,,,,,,,,
,,,,,,,,,,Second,,,,,,,,,,,
1,107,105.513,-14.826,105.513,414,396,165.174,3.55E-15,105.513,Second,,,,,,,,,,,
2,31,30,-90,30,480,393,90,0,30,Second,,,,,,,,,,,
3,96,95.341,-24.146,95.341,423,387,155.854,0,95.341,Second,,,,,,,,,,,
4,110,108.665,173.66,108.665,408,402,173.66,0,108.665,Second,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1,128,126.606,13.707,126.606,585,405,13.707,0,126.606,Third,,,,,,,,,,,
2,32,31.321,-73.301,31.321,636,369,106.699,0,31.321,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,110,109.49,9.462,109.49,369,564,9.462,0,109.49,Third,,,,,,,,,,,
2,22,21.213,-81.87,21.213,420,549,98.13,0,21.213,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,115,114.039,1.507,114.039,465,594,1.507,0,114.039,Third,,,,,,,,,,,
2,31,30.15,-84.289,30.15,522,585,95.711,0,30.15,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,118,117.346,-32.471,117.346,546,435,147.529,0,117.346,Third,,,,,,,,,,,
2,26,25.456,45,25.456,585,471,45,0,25.456,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,97,95.859,-20.136,95.859,447,510,159.864,0,95.859,Third,,,,,,,,,,,
2,28,26.833,-116.565,26.833,495,543,63.435,0,26.833,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,97,95.859,-20.136,95.859,471,516,159.864,0,95.859,Third,,,,,,,,,,,
2,35,34.205,-127.875,34.205,507,546,52.125,0,34.205,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,99,98.087,-23.429,98.087,435,513,156.571,0,98.087,Third,,,,,,,,,,,
2,28,26.833,-116.565,26.833,483,549,63.435,0,26.833,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,100,99.408,5.194,99.408,429,714,5.194,0,99.408,Third,,,,,,,,,,,
2,31,30.15,-84.289,30.15,480,693,95.711,0,30.15,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,92,90.796,-7.595,90.796,423,453,172.405,0,90.796,Third,,,,,,,,,,,
2,25,24,-90,24,471,453,90,0,24,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,86,84.853,8.13,84.853,327,582,8.13,0,84.853,Third,,,,,,,,,,,
2,16,15.297,-78.69,15.297,366,573,101.31,0,15.297,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,108,107.205,-17.928,107.205,459,504,162.072,0,107.205,Third,,,,,,,,,,,
2,22,21.213,-98.13,21.213,519,534,81.87,4.44E-16,21.213,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,100,99.045,-35.134,99.045,546,516,144.866,0,99.045,Third,,,,,,,,,,,
2,29,28.302,-122.005,28.302,594,561,57.995,0,28.302,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,97,96.047,-14.47,96.047,420,570,165.53,0,96.047,Third,,,,,,,,,,,
2,23,21.84,-105.945,21.84,468,597,74.055,0,21.84,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,107,105.513,14.826,105.513,447,528,14.826,0,105.513,Third,,,,,,,,,,,
2,27,25.632,-69.444,25.632,498,504,110.556,0,25.632,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,109,108.167,-3.18,108.167,444,561,176.82,0,108.167,Third,,,,,,,,,,,
2,28,27.166,-83.66,27.166,501,555,96.34,4.44E-16,27.166,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,94,93.145,-14.931,93.145,342,615,165.069,3.55E-15,93.145,Third,,,,,,,,,,,
2,25,24.187,-97.125,24.187,384,633,82.875,0,24.187,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,102,100.623,10.305,100.623,351,645,10.305,0,100.623,Third,,,,,,,,,,,
2,23,21.84,-74.055,21.84,393,624,105.945,8.88E-16,21.84,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,116,115.412,-8.973,115.412,408,567,171.027,0,115.412,Third,,,,,,,,,,,
2,28,27,-90,27,468,567,90,0,27,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,112,111.041,1.548,111.041,375,579,1.548,4.44E-16,111.041,Third,,,,,,,,,,,
2,19,18.248,-80.538,18.248,435,567,99.462,0,18.248,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,106,105.342,19.983,105.342,453,633,19.983,0,105.342,Third,,,,,,,,,,,
2,27,25.807,-54.462,25.807,492,609,125.538,0,25.807,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,100,99.318,-25.017,99.318,360,657,154.983,0,99.318,Third,,,,,,,,,,,
2,25,24.187,-119.745,24.187,405,687,60.255,0,24.187,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,85,83.678,-14.534,83.678,435,639,165.466,0,83.678,Third,,,,,,,,,,,
2,25,24,-90,24,483,639,90,0,24,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,101,100.13,-8.616,100.13,429,717,171.384,0,100.13,Third,,,,,,,,,,,
2,28,27,-90,27,486,714,90,0,27,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,88,87.207,-26.565,87.207,408,576,153.435,0,87.207,Third,,,,,,,,,,,
2,28,26.833,-116.565,26.833,447,609,63.435,0,26.833,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,107,105.513,-14.826,105.513,363,495,165.174,3.55E-15,105.513,Third,,,,,,,,,,,
2,25,24,-90,24,414,492,90,0,24,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,95,94.202,-9.162,94.202,336,675,170.838,1.78E-15,94.202,Third,,,,,,,,,,,
2,19,18,-90,18,387,675,90,0,18,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,98,96.607,-25.769,96.607,420,585,154.231,0,96.607,Third,,,,,,,,,,,
2,28,26.833,-116.565,26.833,456,621,63.435,0,26.833,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,92,90.796,7.595,90.796,381,546,7.595,0,90.796,Third,,,,,,,,,,,
2,19,18,-90,18,429,528,90,0,18,Third,,,,,,,,,,,
,,,,,,,,,,Third,,,,,,,,,,,
1,97,96.047,14.47,96.047,291,675,14.47,0,96.047,Third,,,,,,,,,,,
